OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,Cul_count,Cul_mean,Cul_median,Cul_stdev,Cul_min,Cul_max,Cul_Range,BF_count,BF_mean,BF_median,BF_stdev,BF_min,BF_max,BF_Range,Mid_count,Mid_mean,Mid_median,Mid_stdev,Mid_min,Mid_max,Mid_Range,CulG_count,CulG_mean,CulG_median,CulG_stdev,CulG_min,CulG_max,CulG_Range,BFG_count,BFG_mean,BFG_median,BFG_stdev,BFG_min,BFG_max,BFG_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range,MidG_count,MidG_mean,MidG_median,MidG_stdev,MidG_min,MidG_max,MidG_Range,HSPG_count,HSPG_mean,HSPG_median,HSPG_stdev,HSPG_min,HSPG_max,HSPG_Range,Sat_count,Sat_mean,Sat_median,Sat_min,Sat_max,Sat_stdev,Sat_Range
3034,395851644,,yes,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,270,0.085118398,0.085118398,0.085118398,0.085118398,0,0
3037,395923573,,yes,4,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,132,0.208546905,0.202878386,0.007890606,0.462517798,0.101271959,0.454627192
3038,395923574,,yes,3,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,240,0.20555621,0.191778809,0.002851297,0.450960368,0.11264542,0.448109071
3039,395923575,,yes,4,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,130,0.153242403,0.138781577,0.000353743,0.351792514,0.099751579,0.351438771
3040,395923576,,yes,4,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,120,0.128136824,0.109190099,0.003401752,0.354465127,0.087385349,0.351063375
3042,396217899,,yes,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,343,0.07150522,0.053661209,1.47234E-06,0.330932111,0.064277774,0.330930638
3043,406456198,,house,3,none,0,,,,,,,0,4076,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,4076,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,691,0.109213601,0.092067733,0.000127525,0.534849405,0.08274356,0.53472188
3044,406456199,,house,3,none,0,,,,,,,0,6273,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,6273,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1064,0.090088401,0.058303077,0,0.49251762,0.101583628,0.49251762
3045,406456200,,house,3,none,0,,,,,,,0,3954,0.171630755,0.171630755,0,0.171630755,0.171630755,0,,,,,,,0,,,,,,,0,3954,0,0,0,0,0,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,672,0.142358092,0.072381288,0,0.509072006,0.132579744,0.509072006
3046,406456202,,house,3,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,2003,0.136065807,0.112020314,0.000170143,0.557215095,0.103073465,0.557044952
3064,439403901,,house,2,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,622,0.111355152,0.090657584,6.63347E-05,0.540978014,0.104481574,0.54091168
3065,439403902,,house,2,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,410,0.218727244,0.215432435,0.005858963,0.431174099,0.098485669,0.425315137
3067,439403906,,house,3,significant,2,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,443,0.09453053,0.063387737,2.89084E-06,0.406523436,0.094363555,0.406520545
3068,439403907,,house,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,1421,0.112799624,0.10941086,9.69543E-05,0.509752929,0.078105691,0.509655975
3069,439403908,,house,5,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,411,0.082391801,0.068364881,0.000524229,0.331294209,0.06670282,0.330769979
3070,439403909,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,409,0.110598037,0.103297502,0.001049208,0.320736289,0.054948315,0.319687081
3071,439403910,,house,3,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,541,0.060867149,0.050311845,0.000200622,0.328897953,0.047637984,0.328697331
3072,439403911,,house,1,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,952,0.146241848,0.134945959,0.00083234,0.509662151,0.102892458,0.508829811
3073,439404069,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,235,0.131564113,0.112738274,0.000132105,0.405846119,0.081372579,0.405714014
3074,439404070,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,351,0.189802001,0.159432516,0.002219333,0.58595556,0.136811524,0.583736227
3075,439404071,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,237,0.106973383,0.096232094,2.89084E-06,0.277691036,0.067686199,0.277688146
3076,439404072,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,235,0.151971147,0.110092647,0.001702235,0.653364956,0.133174356,0.651662721
3077,439404074,,house,2,unknown,-99,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,238,0.117740133,0.087432131,0.000130405,0.50703299,0.108065547,0.506902585
3078,439404075,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,236,0.117581403,0.109778225,0.000130405,0.308504999,0.076259908,0.308374594
3079,439404076,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,236,0.073074409,0.064350739,5.28078E-05,0.321108669,0.057431194,0.321055861
3080,439404077,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,234,0.081648254,0.071407303,0.000459965,0.279612511,0.05367325,0.279152546
3081,439404078,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,236,0.155257433,0.10277985,0.003102504,0.486282676,0.124609696,0.483180173
3082,439404079,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,236,0.12695612,0.133384258,0.000323179,0.314281017,0.073434729,0.313957838
3083,439404080,,house,2,partial,1,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,233,0.087489552,0.083666466,0.001807124,0.313905209,0.061953189,0.312098085
3084,439404081,,house,2,none,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,239,0.107012714,0.089851893,0.000344182,0.490522444,0.084863859,0.490178263
