OBJECTID,osm_way_id,name,building,Material,_damage,damage_num,SP_count,SP_mean,SP_median,SP_stdev,SP_min,SP_max,SP_Range,SPG_count,SPG_mean,SPG_median,SPG_stdev,SPG_min,SPG_max,SPG_Range
12536,525405654,,yes,1,none,0,936,0.126186593,0.106126726,0.095315052,0.000123557,0.551998615,0.551875059,936,0.238317146,0.213500649,0.159987111,0.00081865,0.763150334,0.762331684
12421,525371135,,yes,1,none,0,244,0.133349807,0.117088079,0.095547872,0.001907155,0.392905205,0.39099805,244,0.14930651,0.129068628,0.107604154,0.000503674,0.42555365,0.425049976
12579,525406557,,yes,3,none,0,1368,0.113949992,0.095114052,0.095552016,0.000525792,0.632692814,0.632167022,1368,0.122859199,0.112650409,0.069698314,0.000216662,0.420762837,0.420546175
6898,521561308,,yes,3,none,0,2097,0.120539104,0.10106425,0.096258364,3.23E-05,0.784313738,0.784281437,2097,0.463182048,0.486274511,0.152957631,0.009252724,0.843137264,0.83388454
12577,525406555,,yes,3,none,0,1300,0.166625782,0.156134188,0.096367473,0.000296754,0.56135267,0.561055916,1300,0.135070392,0.144901797,0.080703538,6.12E-06,0.338181019,0.338174895
12593,525406571,,yes,3,none,0,3664,0.148288185,0.136756331,0.09710466,2.36E-05,0.60338968,0.603366088,3664,0.184160667,0.164703563,0.130725246,0.000537867,0.668435872,0.667898004
12575,525406553,,yes,3,none,0,1553,0.150932606,0.144768372,0.09781744,0.000574807,0.592747808,0.592173,1553,0.13377798,0.116121791,0.089705989,0.000216662,0.78039217,0.780175508
7185,521564350,,yes,3,none,0,1359,0.161052898,0.149143159,0.098437784,0.000162563,0.798363686,0.798201123,1359,0.166153119,0.123987578,0.114711936,0.00079128,0.704550207,0.703758927
12631,525407830,,yes,3,none,0,712,0.110286298,0.081945688,0.099370561,0.00013277,0.586328149,0.586195379,712,0.189850504,0.200420767,0.096136502,0.002362814,0.472951055,0.47058824
6418,521543962,,yes,3,none,0,3169,0.11273677,0.075406335,0.100764946,4.90E-05,0.60248369,0.602434666,3169,0.143380076,0.104578838,0.12506559,0.000319541,0.688292384,0.687972843
12594,525406572,,yes,3,none,0,200,0.648388052,0.670320868,0.10097082,0.166234747,0.832789183,0.666554436,200,0.384476224,0.413532108,0.222289834,0.024412006,0.801630199,0.777218193
12405,525363645,,yes,1,none,0,502,0.18988246,0.19336845,0.101760538,0.00052387,0.523272395,0.522748525,502,0.169586203,0.121096015,0.125552146,0.000203208,0.662745118,0.66254191
9381,521648839,,house,1,none,0,2704,0.163165708,0.144090906,0.102434576,0.000530542,0.555662513,0.55513197,2704,0.118629737,0.100335672,0.088863587,0.000216662,0.54856199,0.548345328
6877,521559404,,yes,4,none,0,265,0.191099481,0.203276664,0.102842313,0.002069622,0.38077718,0.378707558,265,0.373002739,0.357866347,0.204960248,0.009748242,0.850980401,0.841232159
7732,521575801,,yes,3,none,0,887,0.151694954,0.136312351,0.104369202,0.000411692,0.537511587,0.537099896,887,0.295904729,0.264353633,0.232847368,1.04E-05,0.850980401,0.85096996
12576,525406554,,yes,3,none,0,1356,0.197661013,0.211586595,0.104379282,3.23E-05,0.702345788,0.702313487,1356,0.105973176,0.052251507,0.135631982,0.000216662,0.722417295,0.722200633
8820,521613910,,yes,1,none,0,5464,0.08848456,0.042709343,0.105346807,4.49E-05,0.658403993,0.658359115,5464,0.175598427,0.146901175,0.122341291,6.12E-06,0.847058833,0.847052709
12411,525363651,,yes,3,none,0,1170,0.133564628,0.114557177,0.105891759,0.000114454,0.564310908,0.564196454,1170,0.309104528,0.396034658,0.204206535,0.000248091,0.682792962,0.682544871
